0,1,2,3,4,5,6,7,8,JV_default_PCE
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.3678320445894042,3.000000043429446,1.6,100.0,0.1,16.68
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,4.0,3.796574340148041,1.6,130.0,0.16,11.07
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,4.0,4.033423759508195,1.6,90.0,0.1,17.1
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.4769475716611976,3.477121269196145,1.6,100.0,0.1,19.45
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,3.698970004336019,3.322219315414608,1.6,70.0,0.09,15.76
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.9026992977420334,2.698970091194906,1.6,100.0,0.1,18.66
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.9538084319600062,3.778151257621885,1.6,100.0,0.09,15.73
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,3.698970004336019,3.000000043429446,1.6,100.0,0.1,14.9
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,4.0,2.301030212811168,1.6,100.0,1.0,14.6
0.01595192438895033,0.01749711436200546,0.0006812464098972891,-0.007034436800952369,0.6018428983557322,3.477121269196145,1.57,100.0,1.01,12.48
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,3.698970004336019,4.103803724375599,1.6,70.0,0.12,13.08
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,4.0,3.954242514264819,1.6,100.0,0.1032,10.89
-0.0149323714639817,0.008411696589027937,-0.06040108746275723,0.04084621115816146,-0.954290761701127,2.469822163196607,1.92,55.0,0.04,14.1
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.6018428983557322,3.176091288008646,1.59,100.0,0.045,12.5
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.6018428983557322,3.477121269196145,1.6,100.0,0.1,17.2
0.01680889967193286,0.0195006984011079,0.004425616074641348,-0.003791784697896708,0.6018428983557322,3.778151257621885,1.59,100.0,1.06,19.37
-0.03600562255436168,0.006585262151843551,0.01751782781764756,-0.001410260912717985,4.0,3.301030017378705,1.55,100.0,0.1,12.4
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.6018428983557322,3.000000043429446,1.6,100.0,0.1,15.8
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,4.0,3.000000043429446,1.6,100.0,0.1,14.72
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.3678320445894042,3.056904889432478,1.6,70.0,0.07,11.45
0.01193989563110546,-0.004000911155199178,-0.01805417125849062,-0.03359001149095998,0.6018428983557322,3.778151257621885,1.83,100.0,0.105,11.7
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.0,3.000000043429446,1.6,100.0,0.09,16.37
0.03005776304970446,0.02672802650017309,0.01134055436796627,0.001908825983798767,0.6018428983557322,3.653212523426332,1.48,150.0,0.09,16.86
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.9538084319600062,3.351216364684307,1.6,60.0,0.09,15.9
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.6018428983557322,3.653212523426332,1.6,100.0,0.1119999999999999,15.5
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.9538084319600062,2.9845273583484,1.6,65.0,0.125,10.15
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.0,3.07918128223883,1.6,120.0,0.24,14.1
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.3678320445894042,3.000000043429446,1.6,100.0,0.06,15.74
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,3.698970004336019,4.105510188176205,1.6,75.0,0.16,13.72
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,4.0,3.000000043429446,1.6,100.0,0.1,13.98
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,3.698970004336019,2.477121399484465,1.5,100.0,0.1,13.86
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,4.0,4.056904855146073,1.6,95.0,0.16,15.5
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,3.698970004336019,3.469822030700009,1.6,70.0,0.1,10.66
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.0,3.477121269196145,1.6,100.0,0.16,11.5
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.9538084319600062,3.477121269196145,1.6,100.0,0.08,11.2
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,4.0,3.176091288008646,1.6,100.0,0.09,12.7
0.03371978043534726,-0.02598354129779119,0.01675367228202441,-0.004391186985428325,0.0,3.000000043429446,1.3,100.0,0.0314,10.81
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,3.698970004336019,2.477121399484465,1.6,100.0,0.0757,17.24
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,3.698970004336019,2.447158186447364,1.6,70.0,0.108,17.02
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.9538084319600062,3.000000043429446,1.6,100.0,0.1,10.46
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.9538084319600062,3.049218061446473,1.6,60.0,0.09,17.92
-0.03289016208556557,-0.002805727588558216,0.008678477087695273,-0.01372619041140354,-0.1761708724130287,3.301030017378705,1.67,100.0,0.025,14.57
0.02658510335774138,0.024790210394919,0.008363965066280727,0.002125958845107204,1.277842538821606,3.707570184613514,1.56,70.0,0.09,15.43
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.0,3.301030017378705,1.56,100.0,0.09,19.43
-0.0146622459590162,0.01937125895817178,-0.05021180666847756,0.06785826872720599,0.6018428983557322,3.477121269196145,1.84,300.0,0.159,10.6
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.0,2.90309004127875,1.6,80.0,0.1,11.7
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,4.0,3.176091288008646,1.6,50.0,0.03,14.7
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.3678320445894042,3.000000043429446,1.6,100.0,0.1,15.8
-0.03600717066908667,0.006586621085668454,0.01751554519205328,-0.001388232695216179,0.6018428983557322,3.021189340431315,1.6,105.0,0.09,19.31
